iter	RMSE
0	0.8273389137
1	0.7633392571
2	0.7064546144
3	0.6568324355
4	0.613813922
5	0.576048574
6	0.5437476694
7	0.5157092012
8	0.4918791944
9	0.4713347504
10	0.4541885139
11	0.4398820233
12	0.4278844681
13	0.4177231322
14	0.4076294963
15	0.3996836725
16	0.3933369144
17	0.3880015554
18	0.383026993
19	0.3796044646
20	0.3759541191
21	0.3731469941
22	0.3707148742
23	0.3677714757
24	0.3654425702
25	0.3629750561
26	0.361504856
27	0.3597173919
28	0.3580172374
29	0.3571685614
30	0.35620509
31	0.3554766669
32	0.3543525714
33	0.3535332609
34	0.3530938263
35	0.3526599514
36	0.3518217492
37	0.3508469745
38	0.350468694
39	0.3500981777
40	0.3495408292
41	0.3493370716
42	0.3488577033
43	0.3486430568
44	0.3483078679
45	0.347843925
46	0.3474782274
47	0.3470751278
48	0.346849987
49	0.3465889351
50	0.3462793373
51	0.3460733521
52	0.3457065696
53	0.3453839968
54	0.3451404237
55	0.3449447085
56	0.3446911142
57	0.3444420186
58	0.3443031465
59	0.3439645266
60	0.3436406503
61	0.3433863806
62	0.34324057
63	0.3428447438
64	0.3424922226
65	0.3423971128
66	0.3422367566
67	0.3420437516
68	0.3418492279
69	0.3417238149
70	0.3415496453
71	0.3413788677
72	0.3412109429
73	0.3410419831
74	0.3409699833
75	0.3408429985
76	0.3407136261
77	0.3405809672
78	0.3403939902
79	0.3402575212
80	0.3400829216
81	0.339965644
82	0.3398379382
83	0.33961566
84	0.3394752163
85	0.3393101384
86	0.3391570386
87	0.3390175265
88	0.3388590618
89	0.3387025898
90	0.3386058581
91	0.3384962132
92	0.3383389586
93	0.3382264801
94	0.338093897
95	0.3380042575
96	0.3378580134
97	0.337741444
98	0.3376511835
99	0.3375346981
