iter	Passed	Remaining
0	21	2092
1	40	1989
2	60	1962
3	81	1966
4	102	1940
5	123	1942
6	145	1933
7	165	1906
8	185	1880
9	206	1857
10	226	1834
11	240	1766
12	260	1743
13	276	1699
14	295	1675
15	316	1660
16	335	1638
17	355	1618
18	376	1606
19	396	1587
20	417	1570
21	436	1548
22	456	1528
23	477	1512
24	497	1493
25	518	1476
26	538	1454
27	557	1434
28	578	1416
29	598	1395
30	618	1375
31	637	1354
32	657	1334
33	677	1315
34	697	1295
35	719	1279
36	739	1258
37	759	1238
38	779	1219
39	799	1199
40	820	1180
41	839	1159
42	860	1140
43	880	1120
44	899	1099
45	920	1080
46	940	1060
47	959	1039
48	981	1021
49	1002	1002
50	1023	983
51	1043	963
52	1063	943
53	1083	922
54	1104	903
55	1124	883
56	1144	863
57	1165	844
58	1186	824
59	1206	804
60	1226	784
61	1246	764
62	1268	744
63	1288	724
64	1308	704
65	1328	684
66	1349	664
67	1369	644
68	1389	624
69	1410	604
70	1430	584
71	1450	564
72	1470	543
73	1490	523
74	1510	503
75	1531	483
76	1551	463
77	1572	443
78	1593	423
79	1614	403
80	1634	383
81	1654	363
82	1675	343
83	1694	322
84	1716	302
85	1736	282
86	1758	262
87	1778	242
88	1798	222
89	1819	202
90	1839	181
91	1860	161
92	1880	141
93	1900	121
94	1921	101
95	1941	80
96	1962	60
97	1982	40
98	2002	20
99	2023	0
